mega_cd,mega_nm,cty_cd,cty_nm,from_nm,to_nm,from_cd,to_cd,change_date,reverse
43,충청북도,4311,청주시,흥덕구 사창동,서원구 사창동,43113650,43112530,20140701,
43,충청북도,4311,청주시,흥덕구 모충동,서원구 모충동,43113660,43112540,20140701,
43,충청북도,4311,청주시,흥덕구 산남동,서원구 산남동,43113722,43112550,20140701,
43,충청북도,4311,청주시,흥덕구 분평동,서원구 분평동,43113723,43112560,20140701,
43,충청북도,4311,청주시,흥덕구 수곡1동,서원구 수곡1동,43113727,43112570,20140701,
43,충청북도,4311,청주시,흥덕구 수곡2동,서원구 수곡2동,43113728,43112580,20140701,
43,충청북도,4311,청주시,흥덕구 성화.개신.죽림동,서원구 성화.개신.죽림동,43113780,43112590,20140701,
43,충청북도,4311,청주시,낭성면,상당구 낭성면,43710310,43111310,20140701,
43,충청북도,4311,청주시,미원면,상당구 미원면,43710320,43111320,20140701,
43,충청북도,4311,청주시,가덕면,상당구 가덕면,43710330,43111330,20140701,
43,충청북도,4311,청주시,남일면,상당구 남일면,43710340,43111340,20140701,
43,충청북도,4311,청주시,문의면,상당구 문의면,43710360,43111350,20140701, 
43,충청북도,4311,청주시,남이면,서원구 남이면,43710350,43112310,20140701,  
43,충청북도,4311,청주시,현도면,서원구 현도면,43710370,43112320,20140701,  
43,충청북도,4311,청주시,오송읍,흥덕구 오송읍,43710256,43113250,20140701, 
43,충청북도,4311,청주시,강내면,흥덕구 강내면,43710390,43113310,20140701, 
43,충청북도,4311,청주시,옥산면,흥덕구 옥산면,43710410,43113320,20140701, 
43,충청북도,4311,청주시,내수읍,청원구 내수읍,43710250,43114250,20140701,
43,충청북도,4311,청주시,오창읍,청원구 오창읍,43710253,43114253,20140701,
43,충청북도,4311,청주시,북이면,청원구 북이면,43710430,43114310,20140701,
43,충청북도,4313,충주시,가금면,중앙탑면,43130380,43130385,20140201,
43,충청북도,4315,제천시,의암동,의림지동,43150517,43150518,20170101,
43,충청북도,4315,제천시,인성동,중앙동,43150527,43150528,20170101,
43,충청북도,4375,진천군,덕산면,덕산읍,43750310,43750253,20170701,
44,충청남도,4413,천안시,불당동,불당1동,44133565,44133566,20211115,1개에서2개로분동
44,충청남도,4413,천안시,불당동,불당2동,44133565,44133567,20211115,1개에서2개로분동
44,충청남도,4480,홍성군,홍북면,홍북읍,44800310,44800256,20170801,
45,전라북도,4511,전주시,완산구 효자1동,완산구 효자5동,45111711,45111730,20180701,1개에서1개추가생성
45,전라북도,4511,전주시,덕진구 동산동,덕진구 혁신동,45113660,45113670,20180701,1개에서1개추가생성
45,전라북도,4511,전주시,덕진구 동산동,덕진구 여의동,45113660,45113665,20191001,
45,전라북도,4571,완주군,용진면,용진읍,45710310,45710256,20151001,
45,전라북도,4617,나주시,금천면,빛가람동,46170390,46170620,20140224,2개에서1개추가생성
45,전라북도,4617,나주시,산포면,빛가람동,46170400,46170620,20140224,2개에서1개추가생성
46,전라남도,4671,담양군,남면,가사문학면,46710330,46710335,20190219,
46,전라남도,4679,화순군,북면,백아면,46790390,46790395,20200101,
46,전라남도,4679,화순군,남면,사평면,46790410,46790415,20200101,
47,경상북도,4713,경주시,양북면,문무대왕면,47130310,47130315,20200401,
47,경상북도,4713,경주시,양북면,문무대왕면,47130310,47130315,20200401,
47,경상북도,4715,김천시,남면,율곡동,47150320,47150640,20140102,2개에서1개추가생성
47,경상북도,4715,김천시,농소면,율곡동,47150310,47150640,20140102,2개에서1개추가생성
47,경상북도,4719,구미시,산동면,산동읍,47190350,47190256,20210101,
47,경상북도,4719,구미시,원평동,원평1동,47190535,47190520,20210701,1개에서2개로분동
47,경상북도,4719,구미시,원평동,원평2동,47190535,47190530,20210701,1개에서2개로분동
47,경상북도,4719,구미시,공단1동,비산동,47190621,47190610,20210101,
47,경상북도,4719,구미시,공단2동,공단동,47190622,47190700,20210101,
47,경상북도,4725,상주시,사벌면,사벌국면,47250320,47250325,20200101,
